map,date,ft_pick,ft_score,st_score,ft_link,st_link,ft_round_1_win,ft_round_2_win,ft_round_3_win,ft_round_4_win,ft_round_5_win,ft_round_6_win,ft_round_7_win,ft_round_8_win,ft_round_9_win,ft_round_10_win,ft_round_11_win,ft_round_12_win,ft_round_13_win,ft_round_14_win,ft_round_15_win,ft_round_16_win,ft_round_17_win,ft_round_18_win,ft_round_19_win,ft_round_20_win,ft_round_21_win,ft_round_22_win,ft_round_23_win,ft_round_24_win,ft_round_25_win,ft_round_26_win,ft_round_27_win,ft_round_28_win,ft_round_29_win,ft_round_30_win,match_id,isBoOne,match_num,ft_Maps played,ft_Win Rate,ft_Total kills,ft_Total deaths,ft_Rounds played,ft_K/D Ratio,ft_age,ft_mp_Times played,ft_mp_Total rounds played,ft_mp_Rounds won,ft_mp_Win percent,ft_mp_Pistol rounds,ft_mp_Pistol rounds won,ft_mp_Pistol round win percent,ft_pl_KAST,ft_pl_Impact,ft_pl_ADR,ft_pl_KPR,ft_pl_Total kills,ft_pl_Headshot %,ft_pl_Total deaths,ft_pl_K/D Ratio,ft_pl_Damage / Round,ft_pl_Grenade dmg / Round,ft_pl_Maps played,ft_pl_Rounds played,ft_pl_Kills / round,ft_pl_Assists / round,ft_pl_Deaths / round,ft_pl_Saved by teammate / round,ft_pl_Saved teammates / round,ft_pl_Rating 2.0,ft_pl_Total opening kills,ft_pl_Total opening deaths,ft_pl_Opening kill ratio,ft_pl_Opening kill rating,ft_pl_Team win percent after first kill,ft_pl_First kill in won rounds,ft_pl_0 kill rounds,ft_pl_1 kill rounds,ft_pl_2 kill rounds,ft_pl_3 kill rounds,ft_pl_4 kill rounds,ft_pl_5 kill rounds,ft_pl_Rifle kills,ft_pl_Sniper kills,ft_pl_SMG kills,ft_pl_Pistol kills,ft_pl_Grenade,ft_pl_Other,ft_pl_players_in_team,st_Maps played,st_Win Rate,st_Total kills,st_Total deaths,st_Rounds played,st_K/D Ratio,st_age,st_mp_Times played,st_mp_Total rounds played,st_mp_Rounds won,st_mp_Win percent,st_mp_Pistol rounds,st_mp_Pistol rounds won,st_mp_Pistol round win percent,st_pl_KAST,st_pl_Impact,st_pl_ADR,st_pl_KPR,st_pl_Total kills,st_pl_Headshot %,st_pl_Total deaths,st_pl_K/D Ratio,st_pl_Damage / Round,st_pl_Grenade dmg / Round,st_pl_Maps played,st_pl_Rounds played,st_pl_Kills / round,st_pl_Assists / round,st_pl_Deaths / round,st_pl_Saved by teammate / round,st_pl_Saved teammates / round,st_pl_Rating 2.0,st_pl_Total opening kills,st_pl_Total opening deaths,st_pl_Opening kill ratio,st_pl_Opening kill rating,st_pl_Team win percent after first kill,st_pl_First kill in won rounds,st_pl_0 kill rounds,st_pl_1 kill rounds,st_pl_2 kill rounds,st_pl_3 kill rounds,st_pl_4 kill rounds,st_pl_5 kill rounds,st_pl_Rifle kills,st_pl_Sniper kills,st_pl_SMG kills,st_pl_Pistol kills,st_pl_Grenade,st_pl_Other,st_pl_players_in_team
Dust2,2019-07-18,0,16,12,/stats/teams/4494/mousesports,/stats/teams/8637/Sprout,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,89337,0,2,48.0,0.6458333333333334,4320.0,3832.0,1235.0,1.13,24,4.0,92.0,54.0,75.0,8.0,3.0,37.5,71.8,1.074,75.88,0.6980000000000001,867.0,47.580000000000005,770.2,1.1360000000000001,75.88,4.52,48.2,1240.2,0.6980000000000001,0.11599999999999999,0.62,0.086,0.088,1.1119999999999999,132.0,115.4,1.2260000000000002,1.044,77.46,14.679999999999998,657.2,376.8,142.4,50.6,12.4,0.8,539.0,134.0,36.2,142.6,12.8,3.6,5,82.0,0.6341463414634146,7440.0,6860.0,2142.0,1.08,24,12.0,315.0,177.0,66.7,24.0,14.0,58.3,70.72,1.076,75.0,0.694,1501.2,44.160000000000004,1392.6,1.078,75.0,4.16,83.0,2164.0,0.694,0.118,0.6439999999999999,0.092,0.094,1.0859999999999999,228.0,207.2,1.1320000000000001,1.0320000000000003,75.18,14.7,1147.0,645.2,276.6,79.6,14.0,1.6,843.0,308.6,89.6,237.8,15.4,8.8,5
Mirage,2019-07-18,0,16,9,/stats/teams/4494/mousesports,/stats/teams/8637/Sprout,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,89344,0,3,48.0,0.6458333333333334,4320.0,3832.0,1235.0,1.13,24,9.0,228.0,130.0,55.6,18.0,9.0,50.0,71.8,1.074,75.88,0.6980000000000001,867.0,47.580000000000005,770.2,1.1360000000000001,75.88,4.52,48.2,1240.2,0.6980000000000001,0.11599999999999999,0.62,0.086,0.088,1.1119999999999999,132.0,115.4,1.2260000000000002,1.044,77.46,14.679999999999998,657.2,376.8,142.4,50.6,12.4,0.8,539.0,134.0,36.2,142.6,12.8,3.6,5,82.0,0.6341463414634146,7440.0,6860.0,2142.0,1.08,24,21.0,572.0,300.0,61.9,42.0,20.0,47.6,70.72,1.076,75.0,0.694,1501.2,44.160000000000004,1392.6,1.078,75.0,4.16,83.0,2164.0,0.694,0.118,0.6439999999999999,0.092,0.094,1.0859999999999999,228.0,207.2,1.1320000000000001,1.0320000000000003,75.18,14.7,1147.0,645.2,276.6,79.6,14.0,1.6,843.0,308.6,89.6,237.8,15.4,8.8,5
Mirage,2019-07-18,0,2,16,/stats/teams/9722/NoChance,/stats/teams/4494/mousesports,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89349,0,1,50.0,0.54,4357.0,4550.0,1326.0,0.96,24,8.0,198.0,75.0,12.5,16.0,8.0,50.0,68.02,1.036,73.41999999999999,0.6619999999999999,865.4,42.239999999999995,896.6,0.9660000000000002,73.41999999999999,5.180000000000001,49.4,1310.6,0.6619999999999999,0.134,0.6859999999999999,0.08600000000000001,0.09000000000000001,1.018,126.8,131.0,0.9800000000000001,0.9860000000000001,69.52,13.7,725.8,369.2,161.2,44.6,9.0,0.8,550.0,94.4,59.6,143.4,14.0,5.8,5,48.0,0.6458333333333334,4320.0,3832.0,1235.0,1.13,24,9.0,228.0,130.0,55.6,18.0,9.0,50.0,71.8,1.074,75.88,0.6980000000000001,867.0,47.580000000000005,770.2,1.1360000000000001,75.88,4.52,48.2,1240.2,0.6980000000000001,0.11599999999999999,0.62,0.086,0.088,1.1119999999999999,132.0,115.4,1.2260000000000002,1.044,77.46,14.679999999999998,657.2,376.8,142.4,50.6,12.4,0.8,539.0,134.0,36.2,142.6,12.8,3.6,5
Vertigo,2019-07-18,1,16,6,/stats/teams/9722/NoChance,/stats/teams/4494/mousesports,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,89354,0,2,50.0,0.54,4357.0,4550.0,1326.0,0.96,24,5.0,129.0,69.0,60.0,10.0,7.0,70.0,68.02,1.036,73.41999999999999,0.6619999999999999,865.4,42.239999999999995,896.6,0.9660000000000002,73.41999999999999,5.180000000000001,49.4,1310.6,0.6619999999999999,0.134,0.6859999999999999,0.08600000000000001,0.09000000000000001,1.018,126.8,131.0,0.9800000000000001,0.9860000000000001,69.52,13.7,725.8,369.2,161.2,44.6,9.0,0.8,550.0,94.4,59.6,143.4,14.0,5.8,5,48.0,0.6458333333333334,4320.0,3832.0,1235.0,1.13,24,2.0,48.0,32.0,100.0,4.0,3.0,75.0,71.8,1.074,75.88,0.6980000000000001,867.0,47.580000000000005,770.2,1.1360000000000001,75.88,4.52,48.2,1240.2,0.6980000000000001,0.11599999999999999,0.62,0.086,0.088,1.1119999999999999,132.0,115.4,1.2260000000000002,1.044,77.46,14.679999999999998,657.2,376.8,142.4,50.6,12.4,0.8,539.0,134.0,36.2,142.6,12.8,3.6,5
Nuke,2019-07-18,0,11,16,/stats/teams/9722/NoChance,/stats/teams/4494/mousesports,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89355,0,3,50.0,0.54,4357.0,4550.0,1326.0,0.96,24,9.0,222.0,110.0,55.6,18.0,11.0,61.1,68.02,1.036,73.41999999999999,0.6619999999999999,865.4,42.239999999999995,896.6,0.9660000000000002,73.41999999999999,5.180000000000001,49.4,1310.6,0.6619999999999999,0.134,0.6859999999999999,0.08600000000000001,0.09000000000000001,1.018,126.8,131.0,0.9800000000000001,0.9860000000000001,69.52,13.7,725.8,369.2,161.2,44.6,9.0,0.8,550.0,94.4,59.6,143.4,14.0,5.8,5,48.0,0.6458333333333334,4320.0,3832.0,1235.0,1.13,24,7.0,182.0,103.0,57.1,14.0,7.0,50.0,71.8,1.074,75.88,0.6980000000000001,867.0,47.580000000000005,770.2,1.1360000000000001,75.88,4.52,48.2,1240.2,0.6980000000000001,0.11599999999999999,0.62,0.086,0.088,1.1119999999999999,132.0,115.4,1.2260000000000002,1.044,77.46,14.679999999999998,657.2,376.8,142.4,50.6,12.4,0.8,539.0,134.0,36.2,142.6,12.8,3.6,5
Dust2,2019-07-19,0,13,16,/stats/teams/4991/fnatic,/stats/teams/4494/mousesports,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,89382,0,1,67.0,0.5522388059701493,6096.0,5956.0,1794.0,1.02,24,5.0,144.0,75.0,60.0,10.0,6.0,60.0,69.44,1.0499999999999998,74.82,0.678,1219.2,41.660000000000004,1191.2,1.022,74.82,4.8,67.0,1794.0,0.678,0.138,0.6639999999999999,0.084,0.082,1.05,178.2,179.8,0.976,0.9959999999999999,73.32,14.14,972.2,524.2,212.0,72.0,13.0,0.6,772.0,173.0,47.6,198.0,19.2,10.4,5,54.0,0.6481481481481481,4860.0,4312.0,1384.0,1.13,24,5.0,120.0,70.0,80.0,10.0,5.0,50.0,71.74,1.076,76.22,0.7020000000000002,975.0,47.86,866.2,1.1320000000000001,76.22,4.42,54.2,1389.2,0.7020000000000002,0.11599999999999999,0.624,0.082,0.082,1.112,147.4,129.8,1.216,1.04,76.69999999999999,14.559999999999999,733.6,422.8,161.0,57.8,13.2,0.8,598.2,155.0,38.6,164.0,14.6,6.0,5
Inferno,2019-07-19,1,8,16,/stats/teams/4991/fnatic,/stats/teams/4494/mousesports,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,89394,0,2,67.0,0.5522388059701493,6096.0,5956.0,1794.0,1.02,24,11.0,289.0,145.0,54.5,22.0,6.0,27.3,69.44,1.0499999999999998,74.82,0.678,1219.2,41.660000000000004,1191.2,1.022,74.82,4.8,67.0,1794.0,0.678,0.138,0.6639999999999999,0.084,0.082,1.05,178.2,179.8,0.976,0.9959999999999999,73.32,14.14,972.2,524.2,212.0,72.0,13.0,0.6,772.0,173.0,47.6,198.0,19.2,10.4,5,54.0,0.6481481481481481,4860.0,4312.0,1384.0,1.13,24,12.0,311.0,177.0,58.3,24.0,12.0,50.0,71.74,1.076,76.22,0.7020000000000002,975.0,47.86,866.2,1.1320000000000001,76.22,4.42,54.2,1389.2,0.7020000000000002,0.11599999999999999,0.624,0.082,0.082,1.112,147.4,129.8,1.216,1.04,76.69999999999999,14.559999999999999,733.6,422.8,161.0,57.8,13.2,0.8,598.2,155.0,38.6,164.0,14.6,6.0,5
Inferno,2019-07-20,1,11,16,/stats/teams/7533/North,/stats/teams/4494/mousesports,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,89469,0,1,47.0,0.6170212765957447,4294.0,3994.0,1280.0,1.08,24,9.0,251.0,140.0,77.8,18.0,12.0,66.7,71.38,1.044,73.36,0.674,858.8,44.86,798.8,1.076,73.36,4.38,47.0,1280.0,0.674,0.124,0.622,0.096,0.098,1.08,133.4,121.2,1.1460000000000001,1.03,76.47999999999999,15.059999999999999,692.4,377.8,156.8,44.8,8.0,0.2,579.8,110.2,35.8,118.0,10.6,5.8,5,56.0,0.6607142857142857,5059.0,4469.0,1437.0,1.13,24,13.0,335.0,193.0,61.5,26.0,14.0,53.8,71.92,1.076,76.36,0.7040000000000001,1014.8,47.92,897.6,1.1400000000000001,76.36,4.4,56.2,1442.2,0.7040000000000001,0.11599999999999999,0.624,0.086,0.082,1.116,152.6,135.2,1.21,1.042,76.82000000000001,14.48,760.2,438.8,168.8,60.2,13.2,1.0,622.0,163.0,40.2,170.0,15.2,6.0,5
Mirage,2019-07-20,0,7,16,/stats/teams/7533/North,/stats/teams/4494/mousesports,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89476,0,2,47.0,0.6170212765957447,4294.0,3994.0,1280.0,1.08,24,9.0,231.0,96.0,22.2,18.0,6.0,33.3,71.38,1.044,73.36,0.674,858.8,44.86,798.8,1.076,73.36,4.38,47.0,1280.0,0.674,0.124,0.622,0.096,0.098,1.08,133.4,121.2,1.1460000000000001,1.03,76.47999999999999,15.059999999999999,692.4,377.8,156.8,44.8,8.0,0.2,579.8,110.2,35.8,118.0,10.6,5.8,5,56.0,0.6607142857142857,5059.0,4469.0,1437.0,1.13,24,11.0,271.0,162.0,63.6,22.0,12.0,54.5,71.92,1.076,76.36,0.7040000000000001,1014.8,47.92,897.6,1.1400000000000001,76.36,4.4,56.2,1442.2,0.7040000000000001,0.11599999999999999,0.624,0.086,0.082,1.116,152.6,135.2,1.21,1.042,76.82000000000001,14.48,760.2,438.8,168.8,60.2,13.2,1.0,622.0,163.0,40.2,170.0,15.2,6.0,5
Inferno,2019-08-23,0,16,6,/stats/teams/4494/mousesports,/stats/teams/8135/forZe,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,90640,1,1,34.0,0.6764705882352942,3111.0,2786.0,889.0,1.12,24,8.0,222.0,132.0,75.0,16.0,10.0,62.5,71.17999999999999,1.068,76.1,0.7,622.2,48.3,557.2,1.1239999999999999,76.1,4.5200000000000005,34.0,889.0,0.7,0.118,0.6300000000000001,0.08399999999999999,0.082,1.1019999999999999,90.2,87.6,1.138,1.01,77.16,14.020000000000001,472.8,266.2,103.8,37.2,8.2,0.8,382.0,100.8,22.0,102.2,10.4,5.6,5,75.0,0.76,7324.0,6427.0,2034.0,1.14,24,16.0,445.0,257.0,75.0,32.0,19.0,59.4,73.18,1.122,77.30000000000001,0.72,1464.8,43.2,1285.4,1.146,77.30000000000001,3.5199999999999996,75.0,2034.0,0.72,0.13,0.634,0.09999999999999999,0.1,1.1460000000000001,220.2,186.4,1.2020000000000002,1.0539999999999998,76.8,14.7,1038.4,639.2,264.6,72.2,18.2,1.4,862.2,256.0,91.4,229.8,18.6,9.8,5
Inferno,2019-08-23,0,19,17,/stats/teams/4494/mousesports,/stats/teams/8120/AVANGAR,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,90647,1,1,34.0,0.6764705882352942,3111.0,2786.0,889.0,1.12,24,8.0,222.0,132.0,75.0,16.0,10.0,62.5,71.17999999999999,1.068,76.1,0.7,622.2,48.3,557.2,1.1239999999999999,76.1,4.5200000000000005,34.0,889.0,0.7,0.118,0.6300000000000001,0.08399999999999999,0.082,1.1019999999999999,90.2,87.6,1.138,1.01,77.16,14.020000000000001,472.8,266.2,103.8,37.2,8.2,0.8,382.0,100.8,22.0,102.2,10.4,5.6,5,54.0,0.5370370370370371,4840.0,4534.0,1434.0,1.07,24,11.0,269.0,149.0,63.6,22.0,10.0,45.5,71.0,1.024,73.32,0.672,932.8,47.32,869.8,1.078,73.32,4.18,52.2,1383.8,0.672,0.11599999999999999,0.6300000000000001,0.09000000000000001,0.09,1.0719999999999998,144.0,131.2,1.154,1.022,73.94000000000001,14.620000000000001,742.8,416.0,169.0,46.8,7.6,1.6,559.6,185.6,44.2,133.2,10.8,1.4,5
Mirage,2019-05-29,0,16,12,/stats/teams/8297/FURIA,/stats/teams/4991/fnatic,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,86819,0,1,100.0,0.79,9333.0,7921.0,2558.0,1.18,24,17.0,452.0,249.0,64.7,34.0,17.0,50.0,74.14000000000001,1.1320000000000001,78.7,0.7319999999999999,1903.2,44.84,1617.2,1.182,78.7,4.4,101.8,2606.0,0.7319999999999999,0.134,0.62,0.098,0.094,1.1620000000000001,281.2,239.8,1.23,1.052,77.89999999999999,14.219999999999999,1333.2,802.6,335.2,111.4,22.0,1.6,1290.0,200.8,110.0,271.2,24.6,11.0,5,76.0,0.5526315789473685,7054.0,6949.0,2079.0,1.02,24,15.0,405.0,226.0,73.3,30.0,18.0,60.0,69.0,1.046,74.9,0.6759999999999999,1410.8,42.54,1389.8,1.0139999999999998,74.9,4.959999999999999,76.0,2079.0,0.6759999999999999,0.134,0.668,0.092,0.09,1.048,203.6,211.6,0.9460000000000001,0.986,72.74,13.86,1129.6,609.2,237.4,85.0,17.2,0.6,887.2,201.4,59.0,226.2,24.0,14.6,5
Nuke,2019-05-29,1,16,12,/stats/teams/8297/FURIA,/stats/teams/4991/fnatic,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,86830,0,2,100.0,0.79,9333.0,7921.0,2558.0,1.18,24,15.0,377.0,240.0,100.0,30.0,17.0,56.7,74.14000000000001,1.1320000000000001,78.7,0.7319999999999999,1903.2,44.84,1617.2,1.182,78.7,4.4,101.8,2606.0,0.7319999999999999,0.134,0.62,0.098,0.094,1.1620000000000001,281.2,239.8,1.23,1.052,77.89999999999999,14.219999999999999,1333.2,802.6,335.2,111.4,22.0,1.6,1290.0,200.8,110.0,271.2,24.6,11.0,5,76.0,0.5526315789473685,7054.0,6949.0,2079.0,1.02,24,11.0,312.0,148.0,45.5,22.0,10.0,45.5,69.0,1.046,74.9,0.6759999999999999,1410.8,42.54,1389.8,1.0139999999999998,74.9,4.959999999999999,76.0,2079.0,0.6759999999999999,0.134,0.668,0.092,0.09,1.048,203.6,211.6,0.9460000000000001,0.986,72.74,13.86,1129.6,609.2,237.4,85.0,17.2,0.6,887.2,201.4,59.0,226.2,24.0,14.6,5
Nuke,2019-06-06,0,14,16,/stats/teams/6665/Astralis,/stats/teams/8297/FURIA,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,87326,1,1,33.0,0.7575757575757576,2939.0,2531.0,841.0,1.16,24,4.0,91.0,57.0,75.0,8.0,6.0,75.0,73.44,1.1179999999999999,76.5,0.7,587.8,40.5,506.2,1.1640000000000001,76.5,6.08,33.0,841.0,0.7,0.148,0.602,0.084,0.084,1.142,89.6,78.2,1.176,1.046,79.48,14.620000000000001,443.6,253.8,104.8,31.6,6.4,0.8,376.4,76.6,31.4,87.0,13.0,4.4,5,99.0,0.7676767676767676,9158.0,7887.0,2525.0,1.16,24,19.0,483.0,294.0,89.5,38.0,23.0,60.5,73.53999999999999,1.1260000000000001,78.32000000000001,0.724,1868.2,44.78,1610.4,1.1660000000000001,78.32000000000001,4.34,100.8,2573.0,0.724,0.134,0.6279999999999999,0.098,0.098,1.148,273.0,241.6,1.1800000000000002,1.04,77.6,14.14,1325.6,784.6,329.4,110.4,21.4,1.6,1253.4,193.8,116.4,273.6,24.4,11.0,5
Inferno,2019-06-08,0,11,16,/stats/teams/7533/North,/stats/teams/8297/FURIA,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,87531,0,1,60.0,0.6,5415.0,5072.0,1613.0,1.07,24,9.0,246.0,130.0,77.8,18.0,9.0,50.0,71.56,1.056,74.38,0.6799999999999999,1015.4,46.5,934.8,1.096,74.38,3.9799999999999995,55.4,1490.2,0.6799999999999999,0.122,0.6220000000000001,0.098,0.096,1.094,153.0,140.8,1.16,1.0319999999999998,74.47999999999999,14.820000000000002,797.6,440.8,191.0,51.2,9.0,0.6,734.8,86.4,34.0,144.2,11.8,5.8,5,102.0,0.7450980392156863,9399.0,8258.0,2623.0,1.14,24,21.0,521.0,296.0,71.4,42.0,20.0,47.6,72.84,1.11,77.67999999999999,0.718,1916.4,44.64,1684.6,1.144,77.67999999999999,4.3,103.8,2671.0,0.718,0.132,0.63,0.096,0.096,1.1300000000000001,279.8,254.4,1.156,1.032,76.96000000000001,14.039999999999997,1388.2,810.4,337.0,111.2,22.6,1.6,1287.2,200.0,116.4,281.8,24.8,11.6,5
Overpass,2019-06-08,1,20,22,/stats/teams/7533/North,/stats/teams/8297/FURIA,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,87540,0,2,60.0,0.6,5415.0,5072.0,1613.0,1.07,24,9.0,244.0,138.0,66.7,18.0,8.0,44.4,71.56,1.056,74.38,0.6799999999999999,1015.4,46.5,934.8,1.096,74.38,3.9799999999999995,55.4,1490.2,0.6799999999999999,0.122,0.6220000000000001,0.098,0.096,1.094,153.0,140.8,1.16,1.0319999999999998,74.47999999999999,14.820000000000002,797.6,440.8,191.0,51.2,9.0,0.6,734.8,86.4,34.0,144.2,11.8,5.8,5,102.0,0.7450980392156863,9399.0,8258.0,2623.0,1.14,24,23.0,581.0,351.0,73.9,46.0,26.0,56.5,72.84,1.11,77.67999999999999,0.718,1916.4,44.64,1684.6,1.144,77.67999999999999,4.3,103.8,2671.0,0.718,0.132,0.63,0.096,0.096,1.1300000000000001,279.8,254.4,1.156,1.032,76.96000000000001,14.039999999999997,1388.2,810.4,337.0,111.2,22.6,1.6,1287.2,200.0,116.4,281.8,24.8,11.6,5
Overpass,2019-06-12,-1,8,16,/stats/teams/8297/FURIA,/stats/teams/8038/Party%20Astronauts,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87780,1,1,102.0,0.7254901960784313,9330.0,8363.0,2636.0,1.12,24,24.0,621.0,361.0,70.8,48.0,26.0,54.2,72.3,1.09,77.0,0.708,1902.6,44.62,1705.6,1.12,77.0,4.26,103.8,2684.0,0.708,0.13,0.6379999999999999,0.096,0.096,1.1139999999999999,275.4,261.2,1.1119999999999999,1.016,76.52000000000001,13.919999999999998,1410.6,805.2,333.4,110.2,23.0,1.6,1280.8,194.2,115.8,280.6,25.2,11.2,5,35.0,0.5428571428571428,3065.0,3051.0,910.0,1.0,24,10.0,234.0,115.0,60.0,20.0,7.0,35.0,70.66,1.036,75.14,0.69,514.8,39.3,506.2,1.028,75.14,3.0999999999999996,29.2,760.4,0.69,0.132,0.6699999999999999,0.10200000000000001,0.094,1.058,72.4,73.0,0.9799999999999999,0.986,77.8,14.88,408.0,227.8,92.0,28.0,4.0,0.6,269.8,117.4,28.8,92.2,5.6,2.6,5
Nuke,2019-06-13,1,16,3,/stats/teams/8297/FURIA,/stats/teams/6947/TeamOne,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,87901,0,1,102.0,0.7156862745098039,9288.0,8324.0,2625.0,1.12,24,22.0,562.0,335.0,86.4,44.0,26.0,59.1,72.3,1.09,76.96,0.708,1894.2,44.74,1697.8,1.1199999999999999,76.96,4.279999999999999,103.8,2673.0,0.708,0.13,0.6379999999999999,0.096,0.096,1.116,274.2,260.0,1.1099999999999999,1.018,76.58000000000001,13.9,1405.0,802.0,331.4,110.4,22.8,1.4,1276.4,193.4,114.6,279.0,25.0,11.6,5,44.0,0.5454545454545454,4045.0,3828.0,1177.0,1.06,24,4.0,114.0,61.0,50.0,8.0,4.0,50.0,72.7,1.08,74.94,0.692,799.8,46.67999999999999,750.0,1.068,74.94,5.22,43.2,1157.4,0.692,0.132,0.648,0.10800000000000001,0.10800000000000001,1.102,126.0,106.4,1.202,1.0580000000000003,73.64,14.979999999999999,612.2,353.4,137.4,46.6,7.2,0.6,503.2,114.4,50.0,117.0,12.6,4.0,5
Overpass,2019-06-13,0,16,13,/stats/teams/8297/FURIA,/stats/teams/6947/TeamOne,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,87902,0,2,102.0,0.7156862745098039,9288.0,8324.0,2625.0,1.12,24,24.0,622.0,353.0,66.7,48.0,25.0,52.1,72.3,1.09,76.96,0.708,1894.2,44.74,1697.8,1.1199999999999999,76.96,4.279999999999999,103.8,2673.0,0.708,0.13,0.6379999999999999,0.096,0.096,1.116,274.2,260.0,1.1099999999999999,1.018,76.58000000000001,13.9,1405.0,802.0,331.4,110.4,22.8,1.4,1276.4,193.4,114.6,279.0,25.0,11.6,5,44.0,0.5454545454545454,4045.0,3828.0,1177.0,1.06,24,13.0,375.0,195.0,69.2,26.0,10.0,38.5,72.7,1.08,74.94,0.692,799.8,46.67999999999999,750.0,1.068,74.94,5.22,43.2,1157.4,0.692,0.132,0.648,0.10800000000000001,0.10800000000000001,1.102,126.0,106.4,1.202,1.0580000000000003,73.64,14.979999999999999,612.2,353.4,137.4,46.6,7.2,0.6,503.2,114.4,50.0,117.0,12.6,4.0,5
Inferno,2019-06-16,1,11,16,/stats/teams/8297/FURIA,/stats/teams/9928/GamerLegion,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,88075,0,1,102.0,0.7156862745098039,9271.0,8331.0,2627.0,1.11,24,23.0,573.0,321.0,69.6,46.0,22.0,47.8,72.24000000000001,1.088,76.78,0.706,1890.8,44.72,1699.2,1.1179999999999999,76.78,4.24,103.8,2675.0,0.706,0.13,0.6379999999999999,0.096,0.098,1.1139999999999999,273.6,261.0,1.102,1.014,76.7,13.9,1407.0,804.6,329.8,109.2,23.0,1.4,1272.6,194.4,115.6,277.0,25.4,11.6,5,64.0,0.59375,5689.0,5541.0,1672.0,1.03,24,12.0,334.0,175.0,66.7,24.0,11.0,45.8,69.2,1.09,76.0,0.7040000000000001,1075.2,51.17999999999999,1025.2,1.048,76.0,4.2,58.2,1529.6,0.7040000000000001,0.124,0.6719999999999999,0.084,0.088,1.0699999999999998,159.8,152.4,1.152,1.0260000000000002,71.66,14.74,805.2,454.4,201.6,56.8,10.8,0.8,641.8,173.6,59.8,183.0,13.4,5.8,5
Vertigo,2019-06-16,0,12,16,/stats/teams/8297/FURIA,/stats/teams/9928/GamerLegion,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,88076,0,2,102.0,0.7156862745098039,9271.0,8331.0,2627.0,1.11,24,4.0,90.0,64.0,100.0,8.0,6.0,75.0,72.24000000000001,1.088,76.78,0.706,1890.8,44.72,1699.2,1.1179999999999999,76.78,4.24,103.8,2675.0,0.706,0.13,0.6379999999999999,0.096,0.098,1.1139999999999999,273.6,261.0,1.102,1.014,76.7,13.9,1407.0,804.6,329.8,109.2,23.0,1.4,1272.6,194.4,115.6,277.0,25.4,11.6,5,64.0,0.59375,5689.0,5541.0,1672.0,1.03,24,3.0,72.0,44.0,66.7,6.0,4.0,66.7,69.2,1.09,76.0,0.7040000000000001,1075.2,51.17999999999999,1025.2,1.048,76.0,4.2,58.2,1529.6,0.7040000000000001,0.124,0.6719999999999999,0.084,0.088,1.0699999999999998,159.8,152.4,1.152,1.0260000000000002,71.66,14.74,805.2,454.4,201.6,56.8,10.8,0.8,641.8,173.6,59.8,183.0,13.4,5.8,5
